iter	Passed	Remaining
0	1451	1450412
1	2949	1471708
2	4432	1472925
3	5888	1466288
4	7231	1439047
5	8545	1415689
6	9858	1398470
7	11156	1383388
8	12468	1372972
9	13764	1362652
10	15058	1353914
11	16364	1347367
12	17662	1340962
13	18973	1336263
14	20266	1330846
15	21570	1326573
16	22867	1322259
17	24164	1318297
18	25456	1314348
19	26759	1311218
20	28054	1307893
21	29346	1304592
22	30648	1301900
23	31944	1299085
24	33242	1296466
25	34538	1293870
26	35845	1291773
27	37137	1289198
28	38431	1286807
29	39726	1284493
30	41030	1282534
31	42321	1280214
32	43622	1278272
33	44925	1276401
34	46223	1274440
35	47516	1272390
36	48811	1270417
37	50110	1268591
38	51406	1266709
39	52704	1264915
40	54002	1263129
41	55603	1268299
42	57198	1272995
43	58890	1279526
44	60679	1287761
45	62534	1296905
46	64183	1301415
47	66001	1309024
48	67724	1314406
49	69501	1320530
50	70807	1317578
51	72109	1314615
52	73408	1311653
53	74711	1308830
54	76008	1305957
55	77317	1303348
56	78622	1300720
57	79921	1298027
58	81221	1295421
59	82521	1292841
60	83831	1290455
61	85141	1288101
62	86438	1285596
63	87745	1283280
64	89040	1280814
65	90338	1278429
66	91635	1276058
67	92939	1273822
68	94243	1271599
69	95543	1269370
70	96841	1267120
71	98148	1265030
72	99443	1262795
73	100743	1260650
74	102047	1258589
75	103347	1256482
76	104643	1254362
77	105941	1252283
78	107250	1250347
79	108550	1248326
80	109846	1246281
81	111167	1244535
82	112471	1242601
83	113770	1240643
84	115065	1238650
85	116374	1236820
86	117672	1234880
87	118970	1232961
88	120328	1231681
89	121856	1232103
90	123163	1230277
91	124473	1228503
92	125783	1226723
93	127114	1225171
94	128563	1224733
95	129931	1223525
96	131291	1222232
97	132631	1220749
98	133930	1218903
99	135229	1217065
100	136530	1215256
101	137844	1213573
102	139153	1211852
103	140453	1210064
104	141753	1208283
105	143060	1206566
106	144358	1204785
107	145660	1203046
108	146967	1201361
109	148267	1199622
110	149566	1197880
111	150868	1196169
112	152174	1194506
113	153475	1192802
114	154772	1191077
115	156077	1189417
116	157483	1188527
117	158882	1187580
118	160295	1186728
119	161747	1186151
120	163152	1185213
121	164459	1183571
122	165754	1181841
123	167054	1180161
124	168357	1178499
125	169655	1176819
126	170952	1175126
127	172247	1173438
128	173552	1171818
129	174846	1170123
130	176143	1168461
131	177451	1166876
132	178747	1165220
133	180147	1164238
134	181758	1164603
135	183243	1164132
136	184601	1162851
137	185893	1161160
138	187187	1159484
139	188487	1157854
140	189798	1156292
141	191095	1154649
142	192395	1153029
143	193693	1151397
144	194992	1149781
145	196285	1148138
146	197580	1146506
147	198881	1144910
148	200177	1143296
149	201469	1141661
150	202765	1140054
151	204060	1138444
152	205355	1136835
153	206657	1135271
154	207953	1133680
155	209253	1132117
156	210547	1130516
157	211842	1128932
158	213145	1127391
159	214437	1125795
160	215736	1124240
161	217031	1122667
162	218332	1121129
163	219626	1119559
164	220926	1118022
165	222226	1116484
166	223528	1114967
